,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.35124955,-0.7790884,-0.904001,0.8436662,-2.136132,-2.744639,1.128791,0.7892539,1.4058434,-0.052547846,0.102733456,-2.0069342,-0.3613427,0.6210611,2.372872,-1.4226431,-1.8806474,1.3714359,-1.2292504,0.6680002
0,1.3889766,0.49214146,0.33528668,1.5225458,-1.3925731,0.784173,1.0706033,-0.9199911,1.2128632,1.3451762,-3.0857563,-1.4105815,1.0226184,-0.60495293,0.15137206,-0.96259767,-0.46316794,1.1038436,-0.8311758,1.9906192
0,1.922116,-1.3632218,2.0480127,1.9434782,-0.0706908,-0.5106401,1.1350077,-0.3294218,0.721766,0.6421258,-1.5481827,-0.8439347,-0.69725585,-0.3269404,0.62810624,-0.6999753,-2.7159986,2.7256742,-0.2910402,-0.23076846
0,-1.0280006,0.4324204,0.059237596,2.2476733,-1.6348939,0.76342255,-0.2288458,0.3935322,0.6119945,-0.985122,-0.40136337,-1.4662246,1.2631975,1.7544947,0.3319911,-0.6051199,-0.6142865,1.9463793,-1.0331441,-0.26530457
0,0.35140786,0.003918709,0.8300147,1.4400952,0.10927084,-0.90841085,0.551938,1.7689466,0.1404619,0.62800175,-1.3444663,0.35352623,0.7196924,0.03838051,0.32723662,-0.5919434,-1.7801048,3.1290944,-1.6083872,0.2925745
0,-0.8560414,-0.21839842,0.15730982,1.2992885,1.1449335,-0.59112936,0.28940344,-0.22526148,0.50467414,1.450138,-1.4449562,-0.9879613,0.43200183,-0.04989337,-1.130555,-2.231399,0.51566696,2.4872892,-0.005090965,0.9776547
0,0.44333854,0.72717804,0.82378983,1.975557,-0.42334113,-2.0467844,0.5279274,1.2924863,1.692173,-0.8665629,-0.9990323,-1.7988563,-0.70233035,1.8523169,0.375079,0.57903063,-2.8232317,3.5419886,-0.8334941,2.733787
0,-0.054357473,-1.0725168,0.25392765,1.2049335,0.90005285,0.2793848,2.10738,0.17104965,-0.81646484,0.6764281,-1.8941184,-0.90304214,-1.2196906,0.05992349,1.578383,0.20837595,0.22735453,2.3741295,-0.82158273,2.359374
0,0.68361175,-0.36115456,-1.0305794,2.796048,-1.4705176,-0.89236563,3.2153072,-1.7485328,1.1018721,-1.0341887,-1.1977115,-1.8015027,0.25467098,0.3954715,1.8151462,0.5260931,1.3651612,1.321505,0.13421878,1.5023253
0,0.007679227,-1.415869,0.33765963,1.4598267,0.83828497,0.572534,1.0452945,1.5898052,-0.4550554,0.14972718,-1.5549437,-0.51558465,-0.994113,-0.5478159,0.89601654,1.0497903,-0.36485967,2.9260302,-0.14337702,0.63983786
